,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
0,頂好Wellcome超市,ChIJk7Wh7WaqQjQRJQYa9wNLQqg,24.99888,121.5749191,4,393,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",文山區木柵路四段153號
3,美廉社文山萬安二店,ChIJF21rhGiqQjQRJKnsAa2XVV0,25.0005562,121.5708212,3.8,57,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",文山區萬安街35號
14,健康食彩興隆店,ChIJV-gzvROqQjQRIa9I1l8rii8,25.0003207,121.5562481,3.9,17,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","文山區興隆路三段47號號, No"
15,全聯福利中心 文山辛亥店,ChIJq6v93hOqQjQR3F9joqcYtOg,25.000676,121.554242,4,838,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",文山區興隆路二段252號號1樓
17,美廉社 文山興隆二店,ChIJoTTFIxGqQjQRO-PdK8Wmq1g,25.0001775,121.552152,4,25,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","1樓 43號, 興隆路二段220巷, 文山區"
24,美廉社,ChIJbf9WOBeqQjQRGFm6fpydTpQ,25.004045,121.549991,4.1,30,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",文山區福興路74號
27,全聯福利中心 文山福興店,ChIJac1KOBeqQjQRF0mszI-3dX0,25.0039617,121.5500259,4,238,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","號1樓, No. 62, 福興路, 文山區"
28,全聯福利中心信義黎忠店,ChIJT-b6SzaqQjQRUreB43SNurU,25.0202696,121.5581693,4,480,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",信義區和平東路三段391巷16號
29,國防部福利站(大我分站),ChIJ63VZ3EeqQjQRNTKDNBW83pU,25.015952,121.561496,3.5,4,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",台北市信義區臥龍街379巷5號
31,美廉社北市和平店,ChIJA29FGzeqQjQRZSXiup6S7PQ,25.0199595,121.5562437,3.6,74,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","號, No. 1, 和平東路三段308巷15弄, 大安區"
34,美廉社大安樂業店,ChIJxZw2xjCqQjQRoJBJk73E40c,25.0199402,121.5533255,3.8,51,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區樂業街141號
35,美廉社,ChIJnUgTDjSqQjQRj5EeYCRseyY,25.0242606,121.5547535,3,2,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",信義區崇德街62-80號
36,美廉社信義崇德店,ChIJFQPPDTSqQjQRj1n6gI5rWqY,25.0243569,121.554672,4.1,47,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",信義區崇德街59號
37,全聯mini輕超市 信義信安店,ChIJbxcDgdqrQjQR5oIf5DoL95o,25.0249818,121.5561102,4,124,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",信義區信安街114號
38,全聯福利中心Pxmart 信義信安,ChIJOQq2kw-rQjQRdod9l7n-ZKY,25.025095,121.556046,4.3,53,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",信義區嘉興街245號247號1樓
40,法蘭克肉舖子 信義旗艦店,ChIJJVUDwjSqQjQRlaSEJ8Hng48,25.0270959,121.5559051,4.2,210,"['supermarket', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",信義區基隆路二段141號
45,全聯福利中心Pxmart 大安樂利,ChIJV-1lqEGrQjQR_ctZcnDKva4,25.0257788,121.5522661,3.7,213,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區樂利路89號號1樓
46,家樂福超市大安臨江店Carrefour Market Da'an Linjiang,ChIJlW7_HRCrQjQRT08FFfN4Fz4,25.0301771,121.5549583,4.1,342,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區臨江街87號
47,正鑫家禽,ChIJqfoUbMurQjQRcnj8w9xrBPA,25.0302323,121.5552774,5,2,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區通化街57巷10-8號
48,"ATI Co., Ltd",ChIJ8-aO3IapQjQRuybgfoHsOSk,25.0245859,121.5511234,5,1,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","7樓, No. 111號, 和平東路三段, 大安區"
49,國防部福利事業管理處大安福利站,ChIJZa8jezGqQjQR_q5rxh0HAUw,25.0234023,121.5517852,3.9,224,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區基隆路二段207號號
55,全聯福利中心Pxmart 大安芳和,ChIJbcOGADGqQjQRWI1_didNAuE,25.021664,121.551299,4.1,633,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區樂業街87號1樓、B1
63,City’Super遠企店,ChIJyRrGbTKqQjQRSqGzlvTaza0,25.026302,121.5493532,4,174,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區敦化南路二段203號B2樓
64,全聯福利中心Pxmart 大安居安,ChIJve75pE-rQjQR6QlggxMTwbs,25.029786,121.5503713,3.9,276,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區安和路二段88號號1樓
68,鄭師傅魚舖子-生魚片,ChIJDXwMmi2qQjQRkdxfBM7xLxU,25.0270603,121.5474244,5,2,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區四維路124巷192
69,水果王子水果店（A075攤位）,ChIJ3Qsloi2rQjQRsiA-JgKBBXU,25.0270048,121.5472633,4.4,5,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區四維路192巷10-3號
70,全聯福利中心 大安成功店,ChIJF161vy2qQjQRcx24Acr4xzQ,25.0266806,121.5470111,3.9,217,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區和平東路三段1巷51號號1樓
71,JASONS Market Place-台北安和店,ChIJG5xlK82rQjQRzfeHEKw-UNU,25.0298012,121.5513195,4.1,473,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區安和路二段80號B1樓
75,頂好 Wellcome 超市,ChIJjVGIli2qQjQRLNUhjNBmACU,25.0272087,121.5457403,3.9,436,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區四維路198巷35號
87,SuperBuy市集,ChIJO9-ZoNKrQjQRZthcOYmXB8o,25.0312119,121.5483823,4,19,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區敦化南路二段四十六號四樓之一
89,全聯福利中心 大安門市,ChIJwyhwHiyqQjQRHdo7FR-Awyc,25.0261111,121.5438889,3.9,652,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區復興南路二段237號
94,全聯福利中心Pxmart 大安北師,ChIJD6Fl206rQjQR4Q_unzVv8Pg,25.0254345,121.5452719,4.2,293,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區和平東路二段311巷29號
95,頂好Wellcome超市-大安敦化店,ChIJW89LqNKrQjQREJ3O0jmhhNE,25.0311425,121.5483202,4,270,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區敦化南路二段48號
96,gogoro2嗨台北 彩券行,ChIJD6vXrSyqQjQRga5fZXezRbM,25.031007,121.5432785,1,1,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區復興南路二段82號
97,義美食品大安站門市,ChIJo89ObNOrQjQRf1eUFFQcYPY,25.0317882,121.5437426,3.8,21,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區復興南路二段33-1號
105,新鮮屋 Fresco,ChIJ095AKSiqQjQR4tMlFA4Ce5w,25.024377,121.537286,4.3,50,"['convenience_store', 'supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區建國南路二段296號
109,全聯福利中心Pxmart 北市建國,ChIJX6DDszarQjQRS13mvrqsPIk,25.0294396,121.539114,3.9,441,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區建國南路二段123巷16號
110,全聯超商附設生鮮部 PX Mart,ChIJj0y3WSqqQjQRRPp4Y5pKtDE,25.0294728,121.5390303,4.1,51,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","台灣 號, No. 14, 建國南路二段123巷, 大安區"
126,頂好Wellcome超市-仁愛店,ChIJfczWxtGrQjQR8WZBSnlcqQA,25.0375678,121.547189,3.7,216,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']","大安區仁愛路四段50-99,50-100號B1"
127,7-11,ChIJU25UUlWrQjQRcU_EkLOz3oA,25.033377,121.5447632,4,1,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區仁慈里
128,心樸市集,ChIJDwVEvc6rQjQRxXFz4fM_2SI,25.0348363,121.5482561,4.2,163,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區四維路45號
140,Pxmart Da'an Minrong,ChIJtXHH_hipQjQRyl0dMIpKDcA,25.0351478,121.5359386,4.1,368,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區仁愛路三段24巷12號號1樓
145,頂好Wellcome 忠孝店,ChIJqRpUltqrQjQRmERXoSebvHo,25.0419552,121.5468164,4,377,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路四段71號
