,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
0,康是美(萬芳門市),ChIJ6b2WqBOqQjQRHgkEyBj3JLM,24.9995993,121.5567291,3.7,17,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",文山區興隆路三段88號
1,屈臣氏 木柵門市,ChIJHRtzvROqQjQRuFFl4jyrrRY,25.0003835,121.55612,3.5,39,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",文山區興隆路三段53號
4,康是美(安居門市),ChIJUc233DaqQjQRx0lTrpjQGHk,25.0211898,121.5552728,4,32,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區安居街5號
5,屈臣氏和平三門市,ChIJpQb3tzeqQjQRXDVNyiKcONU,25.0191438,121.5583185,3.2,17,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","1樓, No. 433號, 和平東路三段, 信義區"
6,屈臣氏 安居,ChIJheauKTeqQjQRXQCQuZCC1bk,25.0205839,121.5545885,3.2,17,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區安居街27號
7,康是美六張犁門市,ChIJs6sd7zOqQjQRs_bpenK8mNc,25.0244491,121.5530453,3.5,44,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",信義區基隆路二段201-1號1樓
11,康是美 (新通化門市),ChIJJQHfgcurQjQR9bPlUz3j8Xw,25.0313158,121.5540701,3.8,10,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區通化街28號
12,屈臣氏Watsons (來店取貨),ChIJ14UofMurQjQR14dFcryIumo,25.0310326,121.5543472,3.4,23,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區通化街37號
14,康是美 (富運門市),ChIJMR1YpC6qQjQRiQkdcTBMr2c,25.025515,121.5436754,4.3,8,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區復興南路二段279號
15,屈臣氏,ChIJfx0SHCyqQjQRYgorrne8_wg,25.0262255,121.543644,3.3,28,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區復興南路二段205號
17,康是美（臥龍門市）,ChIJqwk2uy6qQjQRskLyWg7No2s,25.0247848,121.546927,4.1,24,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區和平東路三段7號
18,屈臣氏Watsons (來店取貨),ChIJj8ixdi6qQjQRWhz7QI0Xq4g,25.0247778,121.5465248,4,13,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區和平東路二段365號
20,屈臣氏Watsons（臨江店）,ChIJV1Gq4cqrQjQRXvcMpYKlpIk,25.0295114,121.5572686,4.4,18,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區光復南路704號
22,屈臣氏 和平,ChIJrQfevymqQjQRskKwzvAs708,25.0257522,121.5385237,3.7,27,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區和平東路二段55號
25,康是美(大安門市),ChIJgen6A9OrQjQRPyJeQqVoNeA,25.0331519,121.5452453,2.4,10,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區信義路四段54號
29,屈臣氏 信義三,ChIJGz96EtOrQjQR8dtGAaWbqV8,25.0330582,121.5444411,3.1,30,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區信義路四段22號
35,屈臣氏 崇光店,ChIJyaFKdNqrQjQRqHCKzYlBsZo,25.0418439,121.5444033,2.6,69,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路四段15號
38,康是美(台安門市),ChIJ86GL6NyrQjQRmUNPgCCn5NA,25.0484073,121.5467103,4,5,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",松山區八德路二段435號
39,屈臣氏,ChIJE8I2usWrQjQR7I-RASLmR60,25.0417081,121.5519743,2.6,111,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路四段209號
40,屈臣氏Watsons (來店取貨),ChIJOZ5p6dyrQjQRxMIlWPOifbQ,25.0480355,121.5468509,3.4,14,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",松山區八德路二段406號
42,康是美(延吉門市),ChIJ4XzMd8arQjQR_5hm336HAYs,25.0411499,121.554327,2.8,12,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路四段250號
43,屈臣氏Watsons (來店取貨),ChIJmbPuyN2rQjQRhSZ--ICNbqA,25.050291,121.5437986,3.1,32,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區復興北路60號
46,康是美 (微風門市),ChIJCwxrP9qrQjQRjcTztUheWyU,25.0433357,121.5440383,4.2,35,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","號 1樓, No. 125, 復興南路一段, 大安區"
47,康是美 頂東門市,ChIJI2x1CyCrQjQRgDcjv3W3Ja4,25.043469,121.5462635,4.3,12,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","1樓, No. 43號, 大安路一段, 大安區"
48,COSMED 康是美 明曜門市,ChIJ_XdHfc-rQjQRQr3FsUDYkCU,25.0398318,121.5519591,3.7,21,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路四段216巷32弄20號
50,康是美 新中崙門市,ChIJ7TX_1i6rQjQR5wuptigEHXk,25.048084,121.5511794,5,4,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",松山區八德路三段22之2號1號樓b區
51,康是美(復興門市),ChIJ7Wi6yN2rQjQRy-trfnBxADQ,25.0504583,121.5437793,3.9,26,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區復興北路62號
54,康是美 (敦北門市),ChIJi_pJiuirQjQRDP67Kko4IHY,25.0538751,121.5493551,4.2,24,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",松山區敦化北路147號
55,康是美 (興北門市),ChIJl85GQeerQjQRRj2eAp-Pj9I,25.0535134,121.5437149,4.2,11,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區復興北路164號
60,康是美(西華門市),ChIJ112rsOWrQjQRRxE8Z4kHFp0,25.0588119,121.5462564,3.9,9,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","號1樓, No. 30, 復興北路313巷, 松山區"
61,屈臣氏Watsons (來店取貨),ChIJcYLcsmGpQjQRzeDHt6iKiJQ,25.0518054,121.5350793,2.4,26,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區南京東路二段178號
63,屈臣氏Watsons (來店取貨),ChIJ1YKqpOOrQjQRyWs882GqLQ4,25.0603286,121.540826,3.7,38,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區龍江路283號
65,屈臣氏-民生,ChIJvXjX5O6rQjQRE_jZS4SREJE,25.057794,121.551796,3.5,14,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",松山區民生東路四段60號
67,屈臣氏Watsons (來店取貨),ChIJxR7Ph92rQjQRru91-G3Y1yg,25.0520289,121.5449105,2.4,60,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",松山區南京東路三段259號
69,康是美(慶城門市),ChIJu3XycOerQjQReArWDC3kE8Q,25.0530791,121.5452063,4.4,11,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",松山區慶城街14號1樓+2樓
70,屈臣氏Watsons,ChIJA0ZTKmmpQjQRA2iH8YD2Wck,25.0521526,121.5402091,3.6,9,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區南京東路三段125號
73,康是美 (復錦門市),ChIJucq2YeSrQjQRsW3g_4jRLEQ,25.0602595,121.5439216,3.8,42,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區復興北路354號
74,屈臣氏Watsons (來店取貨),ChIJH3AZe-SrQjQRahzpH_AEKR4,25.060026,121.5433145,3.3,22,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","1F, No. 448號, 錦州街, 中山區"
78,康是美 (龍江門市),ChIJQwy67vyrQjQRi-vLNhAXk2k,25.0653919,121.5408374,3.9,12,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","1樓 1樓, No. 334號, 龍江路, 中山區"
79,屈臣氏民權店,ChIJjeJcMOWrQjQRIkSnjZ1LdYE,25.0618461,121.5464189,2.1,29,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",松山區民權東路三段136號
85,康是美(松航門市),ChIJs0ZPqPGrQjQRC3l9SbHZIHs,25.0641116,121.5518114,3.3,7,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",松山區敦化北路340-9號
90,屈臣氏Watsons (來店取貨),ChIJkQNV-_yrQjQR7y1hotSy_b8,25.0658731,121.5402216,2.7,7,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區龍江路356巷16號
102,屈臣氏Watsons,ChIJH__9twWsQjQRgMZKG-P8hA0,25.0796907,121.5462542,3,19,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區北安路520-4號
104,屈臣氏 實踐門市,ChIJh2mcOwWsQjQRiTN-Q-eIPBI,25.0826799,121.546473,2.3,21,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區大直街43號
105,康是美北安,ChIJu22j-g-sQjQRycoU2u0pYJU,25.08238,121.54906,3.8,55,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區北安路616號1樓
108,康是美 (薇閣門市),ChIJQYYUTBKsQjQRTwkblw9Z0Io,25.0837736,121.555979,4,35,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中山區敬業三路11號
109,屈臣氏Watsons,ChIJv5FB6hKsQjQRFb35vjJ2OV8,25.082428,121.557985,3.8,9,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","1F, No. 218號, 樂群三路, 中山區"
111,康是美 新湖門市,ChIJtatEkm6sQjQR1lx2DhkR6SI,25.0823473,121.5669674,4,51,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",內湖區內湖路一段287號
112,屈臣氏Watsons (來店取貨),ChIJzZuOnG6sQjQRefYrhBRkUa0,25.0825062,121.5658343,3.1,28,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",內湖區內湖路一段279號
114,康是美 麗山門市,ChIJj0Z7imWsQjQRXv3MDNnt_34,25.0816265,121.5712755,4.1,27,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",內湖區內湖路一段419號
118,康是美 (麗湖門市),ChIJoeMJxmOsQjQRNmE_uuGlrU0,25.0802885,121.579066,3.7,43,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",內湖區內湖路一段737巷47號
119,屈臣氏 港墘,ChIJfSCPuGOsQjQRa3qmiROP9ds,25.0798735,121.5788048,2.9,29,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",內湖區內湖路一段737巷37號
125,屈臣氏 內湖,ChIJFYWINY2sQjQRqpDNiPm_SRI,25.0821066,121.5920911,3.9,50,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",內湖區成功路四段46號
126,康是美 (文湖店),ChIJ6eRIOY2sQjQRUL1oaBlQ8Qg,25.0824382,121.5923796,3.6,16,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","1樓, No. 56號, 成功路四段, 內湖區"
129,康是美 新大湖門市,ChIJv1fkVhStQjQRqAtO-zBBmAU,25.0848269,121.6005542,1.8,5,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",內湖區成功路四段372號
131,康是美(明湖門市),ChIJD-DM37qsQjQRWNMubuKHlic,25.0689053,121.6142201,4.1,37,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","1樓, No. 47號, 東湖路, 內湖區"
132,康是美 新葫洲門市,ChIJH1Ciem2tQjQREbioUbEXzeo,25.0727747,121.6055303,5,2,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",內湖區民權東路六段298號號 1+2樓 、302號2樓、328號2樓
133,屈臣氏 東湖店,ChIJY9gMI7usQjQReWOGc-l5fhY,25.0689514,121.6134701,4,78,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",內湖區東湖路31號
137,屈臣氏-康樂,ChIJw-myxLCsQjQRAkJN-dGcueg,25.0712481,121.6190057,3.9,16,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",內湖區康樂街116-4號
