,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
0,巨林美而美早餐店,ChIJpx0LZh-pQjQRNWs1_BtmK2c,25.0632587,121.4952563,4.1,27,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 55, Datong North Road, Sanchong District"
2,美而美,ChIJ1e8ciR6pQjQRT9Kx_7qrBlo,25.0595827,121.4944053,3.3,4,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 217, Guangxing Street, Sanchong District"
3,Hong Ya Hamburger,ChIJH7ls5eOoQjQRqYddls11f0s,25.060029,121.486437,3.9,52,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區重陽路一段118號
4,Laya Burger,ChIJ3fGpCeOoQjQRmH2mdjkHPFI,25.0574716,121.4877404,4.2,49,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 51, Section 4, Chongxin Road, Sanchong District"
5,呷尚寶,ChIJQ9PP8-OoQjQRXApAUrcYtU4,25.0596522,121.4861083,3.7,52,"['restaurant', 'food', 'point_of_interest', 'establishment']","號, No. 7, Lane 13, Sanyang Road, Sanchong District"
6,拉亞漢堡 三重集美店,ChIJZw5NHv2oQjQR8B5ECbEpuVY,25.0535717,121.488535,3.9,172,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區集美街81號
7,龍鳳美而美,ChIJjU892PyoQjQRvY6Tee4oX_4,25.054145,121.48837,4.2,23,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 63號, Jimei Street, Sanchong District"
11,呷尚寶二重店,ChIJL3M6b1-oQjQRlvEkGXIZBak,25.0472634,121.4721291,4.3,118,"['restaurant', 'food', 'point_of_interest', 'establishment']","號, No. 13, 光復路一段, 三重區"
12,拉亞漢堡 三重光復,ChIJmc6NCeipQjQRrUe82wyeNNQ,25.0474264,121.4720066,3.6,88,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區光復路一段32號
13,麥味登,ChIJgTZPY16oQjQRc2VBvAxEXjw,25.043702,121.471035,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']",臺灣省中和區成功南路72號
14,美而美,ChIJuQsFyl-oQjQRhYo5llT5mF0,25.0462113,121.4698671,-,-,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 9, Zhongxing North Street, Sanchong District"
17,麥味登早餐店福興店,ChIJTdQh-W-oQjQRaIk8p-2v--I,25.040697,121.4574903,4.1,74,"['restaurant', 'food', 'point_of_interest', 'establishment']",新莊區公園路238號
18,瑞麟美而美,ChIJ5TV1SHCoQjQRKEGl2zuOM9s,25.0393343,121.4556347,5,3,"['restaurant', 'food', 'point_of_interest', 'establishment']",新莊區中港路88號
20,JSP呷尚宝(永寧店),ChIJ7xiDq3CoQjQRzB2sygGnVA8,25.0400618,121.453127,3.4,58,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 146號, Gongyuan Road, Xinzhuang District"
