,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
0,臺灣銀行 木柵分行,ChIJJ-Qw1HqqQjQREoH73Umar2E,24.9919891,121.5738149,3.9,34,"['bank', 'finance', 'point_of_interest', 'establishment']",文山區新光路一段145號
1,台北富邦銀行 興隆分行,ChIJYWFnuROqQjQRNTcPMZo2WsE,25.0001792,121.5563939,2.5,15,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",文山區興隆路三段69號
2,安泰商業銀行,ChIJMZ9f6BOqQjQRLA914xOrd0U,25.0008333,121.555,2.7,7,"['bank', 'finance', 'point_of_interest', 'establishment']",文山區興隆路三段11號
3,第一商業銀行,ChIJaXci4ROqQjQRL_nGuPcFDNg,25.0010589,121.5543949,2.9,12,"['bank', 'finance', 'point_of_interest', 'establishment']",文山區興隆路二段347號
5,中信商銀 文山分行,ChIJ30O0-hOqQjQRfmAiP-UDz6I,25.0015341,121.5548497,2.9,15,"['bank', 'finance', 'point_of_interest', 'establishment']",文山區辛亥路四段248、250號1樓
8,中國信託銀行,ChIJNzE4_ROqQjQRkozra3bHRKk,25.0016131,121.554225,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']",文山區辛亥路四段252巷2弄
17,永豐銀行和平分行,ChIJCQRkwjaqQjQRkuyjxIqPHjk,25.0213315,121.5555175,3.1,18,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區和平東路三段260號1樓
18,華泰銀行(大安分行),ChIJNyyK7jaqQjQRuIHbkBDkS84,25.0212677,121.5561042,4.5,4,"['bank', 'finance', 'point_of_interest', 'establishment']",信義區和平東路三段321號
19,華泰商業銀行股份有限公司北三區域中心,ChIJXSyK7jaqQjQRkhtmbAWfeq8,25.021383,121.5561332,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']",信義區和平東路三段321號
20,陽信銀行大安分行,ChIJdx9cVDGqQjQRKQ05QyXU2t0,25.023286,121.553925,2.5,4,"['bank', 'finance', 'point_of_interest', 'establishment']",信義區和平東路三段225號
21,元大商業銀行 世貿分行,ChIJL_GL_8mrQjQR8GnohdeEQtY,25.0285152,121.5570645,2.7,6,"['bank', 'finance', 'point_of_interest', 'establishment']",信義區基隆路二段123號1樓
22,日盛銀行信義分行,ChIJEWr-28qrQjQR2miCkJtSeVU,25.0289969,121.557344,3.2,12,"['bank', 'finance', 'point_of_interest', 'establishment']",信義區基隆路二段109號
23,彰化銀行(和平分行),ChIJJ5Wq1TOqQjQRsJq6ZkNw1jU,25.0241732,121.5516736,5,3,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區和平東路三段106號
24,台北富邦银行 基隆路分行,ChIJ8QgDEsqrQjQRDwzcuwH5JwA,25.0268246,121.5555614,3.4,23,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",信義區基隆路二段149號
25,板信商業銀行(信義分行),ChIJbf_21cqrQjQRKAnlCPC6XBU,25.02838,121.556992,3.8,5,"['bank', 'finance', 'point_of_interest', 'establishment']",信義區基隆路二段127號
26,萬鑫國際當舖,ChIJf4XvhzOqQjQRxwTSrADLrzA,25.025444,121.5540378,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']",信義區基隆路二段161號
27,上億當舖,ChIJ_Zz-iDOqQjQRf12Y5wkgro4,25.0253554,121.5539265,5,5,"['bank', 'finance', 'point_of_interest', 'establishment']","號, No. 169, 基隆路二段, 信義區"
29,瑞興銀行 和平分行,ChIJm0od0TOqQjQR1rLu8RFojlM,25.0245317,121.5516699,4.2,5,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區和平東路三段121號
30,彰化商業銀行股份有限公司,ChIJJ5Wq1TOqQjQRy-Z-fzIlNGk,25.0241532,121.551406,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區和平東路三段106號
31,聯邦銀行 通化簡易型分行,ChIJ_akDoMyrQjQRzr9u5lYo-rI,25.030098,121.554093,5,2,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區通化街74號
39,聯邦商業銀行 和平分行,ChIJUU0-ijGqQjQRgVxHyMLXP2c,25.0243229,121.550124,2.8,9,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區和平東路三段68之2號
41,第一商業銀行-敦化分行,ChIJk4LLGjKqQjQRftrkjMEGT-o,25.0251977,121.5490917,3.3,14,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段267號
42,國泰世華銀行 敦化分行,ChIJ50VR1i-qQjQRK4KAgw15tqw,25.021726,121.548265,3.7,21,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段218號
43,斐商標準銀行股份有限公司台北分行,ChIJ50VR1i-qQjQRjSaDCUizwSg,25.0217172,121.5482726,-,-,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段218號
45,日盛銀行敦化分行,ChIJTR02Hi6qQjQRFrdiF9jT8to,25.023699,121.548329,1.5,6,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區敦化南路二段180號
48,台灣土地銀行,ChIJ-8RGCS6qQjQRY2aBjsCTy08,25.0249518,121.5473232,3.6,11,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區和平東路三段15號
49,土地銀行證券商,ChIJOa0JCS6qQjQRNYjw040jP8s,25.0249253,121.5474665,5,1,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區和平東路三段15號3樓
50,花旗銀行 大安分行,ChIJw3EuLTCqQjQRw5J7q80jUX4,25.0272556,121.5500384,2.4,39,"['bank', 'finance', 'point_of_interest', 'establishment']",大安區安和路二段185號
