Unnamed: 0,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
0,丹堤咖啡,ChIJz5rtoxOqQjQR7BfaBej2ZI8,25.0001085,121.55656289999999,3.7,456,"['cafe', 'food', 'point_of_interest', 'establishment']",文山區興隆路三段73號
1,STARBUCKS 星巴克 (萬芳門市),ChIJwbaoahOqQjQR8UMWS835gGo,24.999901,121.55814,3.9,371,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",文山區興隆路三段111號
3,Louisa Coffee 路易．莎咖啡(萬芳醫院店),ChIJ1xQyGROqQjQRRL8wx3qkPBQ,24.9989956,121.5581797,3.7,462,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",文山區興隆路三段119號
4,85度C咖啡蛋糕飲料麵包(萬芳醫院店),ChIJAyp-HxOqQjQR-o_VP-8hEyg,24.998772199999998,121.55840740000001,3.6,160,"['cafe', 'food', 'point_of_interest', 'establishment']",文山區興隆路三段123-3號
6,85度C咖啡蛋糕飲料麵包(台北和平東店),ChIJJ3Za7syrQjQRoippNkAn2sc,25.0196682,121.55740320000001,3.8,364,"['cafe', 'food', 'point_of_interest', 'establishment']",大安區和平東路三段342號
8,cama café 台北六張犁,ChIJfWb3_smrQjQRlU-kXdRfABc,25.024739399999998,121.5531672,3.9,160,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",信義區基隆路二段195號
9,Louisa Coffee 路易．莎咖啡(六張犁店),ChIJGWi_1zOqQjQRF9cgM12sI-w,25.0240811,121.55188270000001,3.4,189,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區基隆路二段190-1號
10,STARBUCKS 星巴克 (興和門市),ChIJy1stmSiqQjQRWxEjYekjEaM,25.0255766,121.5436477,4,425,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區復興南路二段275號
12,丹堤咖啡,ChIJJ8Qp2CmqQjQRNLNnJxmqXHQ,25.025333899999996,121.54367279999998,3.6,360,"['cafe', 'food', 'point_of_interest', 'establishment']",大安區復興南路二段277號
13,cama café 大安科技店,ChIJUezUxVyrQjQRbhAc-jmT4fI,25.0252585,121.54226659999999,4.4,39,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區和平東路二段195號
14,85度C咖啡蛋糕飲料麵包(科技大樓店),ChIJ5x69H7yrQjQRcu1B77HEw3k,25.0249787,121.5414523,3.8,45,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區和平東路二段98號
16,丹堤咖啡,ChIJJ8Qp2CmqQjQRBZz4LtD5otM,25.033182999999998,121.5426029,3.7,730,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區信義路三段184號
17,Starbucks,ChIJ5QizddOrQjQRkBsS22h-CAg,25.0336797,121.54389180000001,4.1,952,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區復興南路一段323號1F
18,怡客咖啡 大安捷運店,ChIJ21TOdNOrQjQR5txWYHClC_I,25.0335288,121.5439637,3.8,383,"['cafe', 'food', 'point_of_interest', 'establishment']","號, No. 1-13, 信義路四段, 大安區"
19,cama café 大安信義店,ChIJOVtsVtKrQjQRoQTHHfXHT9Q,25.0331687,121.5420914,4.3,181,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區信義路三段174號
20,LOUISA COFFEE,ChIJD3EHDdOrQjQRxcSmGdD7RGQ,25.0331526,121.54455120000002,4,89,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","No. 28號, Section 4, Xinyi Road, Da’an District"
21,STARBUCKS 星巴克 (崇光門市),ChIJTTJnetqrQjQRCaEi7SaExME,25.041931100000003,121.5446558,4,146,"['cafe', 'food', 'point_of_interest', 'establishment']",大安區忠孝東路四段45號B1
23,STARBUCKS 星巴克 (復安門市),ChIJ3Tv9FOerQjQRbY3e5ej0jKI,25.042777800000003,121.54472220000001,4,420,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區復興南路一段135巷9號
25,路易莎咖啡LOUISA COFFEE,ChIJyX1Da9qrQjQRg5JVCdh8q64,25.042765,121.54420400000001,3.8,272,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區復興南路一段133之1號
28,湛盧咖啡忠孝館,ChIJsREhnNqrQjQRZz_SY7ky0dU,25.0413307,121.54495520000002,4.3,705,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路四段50號2樓
29,STARBUCKS 星巴克 (崇興門市),ChIJVZX9rtCrQjQRpv0zCdvBQfI,25.0408932,121.54324170000001,3.9,93,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區忠孝東路三段300號B2
31,成真咖啡台北sogo復興店,ChIJd4GN3K2rQjQR7WT-wUkk5qU,25.0408932,121.54324170000001,4.4,604,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","9 F, No. 300號, Section 3, Zhongxiao East Road, Da’an District"
32,STARBUCKS 星巴克 (南京復興門市),ChIJVQRx7t2rQjQRr5b6VuvX834,25.0516611,121.5437483,4.1,572,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中山區南京東路三段224號1F
34,LOUISA COFFEE 路易莎咖啡 (南京復興店),ChIJs3fvl92rQjQRCpnjOkHr2Ko,25.050576,121.54478700000001,3.4,106,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",松山區南京東路三段256巷20弄2號
37,STARBUCKS 星巴克 (慶城門市),ChIJ0UNk_OerQjQRbGO4NM7vS9c,25.0528006,121.544604,3.9,357,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",松山區慶城街1號
39,路易莎咖啡遼寧店,ChIJO26EHN6rQjQR3cQyx5GxEHk,25.052634299999998,121.5419321,3.4,156,"['cafe', 'food', 'point_of_interest', 'establishment']",中山區遼寧街112號
41,Louisa Coffee 路易．莎咖啡(慶城店),ChIJ4eqRc-erQjQRIsWH7F4YTKU,25.0531134,121.5452338,3.3,74,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",松山區慶城街14-1號
42,丹堤咖啡館,ChIJsXF77V6pQjQR15O3qqJDujA,25.0614854,121.54399199999999,3.7,455,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中山區復興北路398號
43,STARBUCKS 星巴克 (民權門市),ChIJ3Tv9FOerQjQR61C5y3XHlq4,25.0619792,121.543746,4.1,333,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中山區民權東路三段88號
45,LOUISA COFFEE 路易莎咖啡 (復北店),ChIJbQyVj-SrQjQRV51r5yyWh7c,25.0610035,121.5435702,3.8,182,"['cafe', 'food', 'point_of_interest', 'establishment']","1 No. 8號, 復興北路380巷, 中山區"
48,cama café 民權復興店,ChIJZ22jJ-WrQjQRbBQUF9n0Uog,25.0618842,121.54566740000001,4.1,93,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",松山區民權東路三段120號
49,STARBUCKS 星巴克 (松山機場門市),ChIJXd9DqPGrQjQRV4eZCMc79Uo,25.0640733,121.55225530000001,4.1,191,"['cafe', 'food', 'point_of_interest', 'establishment']",松山區敦化北路340之9號2F
51,STARBUCKS 星巴克 (美麗華門市),ChIJ6dYHUxKsQjQRxySoOzDfUhM,25.0836018,121.55673859999999,3.9,732,"['cafe', 'food', 'point_of_interest', 'establishment']",中山區敬業三路20號1樓
53,STARBUCKS 星巴克 (大直植福門市),ChIJHbVHIBKsQjQRjG9xf7NcB1Q,25.083203,121.554254,4.3,777,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中山區敬業二路115號
55,STARBUCKS 星巴克 (環山門市),ChIJdyX3km6sQjQRM7UC2HCK_-M,25.082347600000002,121.5670637,4,374,"['cafe', 'food', 'point_of_interest', 'establishment']",內湖區內湖路一段289號
