,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
0,丹堤咖啡,ChIJz5rtoxOqQjQR7BfaBej2ZI8,25.0001085,121.5565629,3.7,456,"['cafe', 'food', 'point_of_interest', 'establishment']",文山區興隆路三段73號
1,STARBUCKS 星巴克 (萬芳門市),ChIJwbaoahOqQjQR8UMWS835gGo,24.999901,121.55814,3.9,371,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",文山區興隆路三段111號
3,Louisa Coffee 路易．莎咖啡(萬芳醫院店),ChIJ1xQyGROqQjQRRL8wx3qkPBQ,24.9989956,121.5581797,3.7,462,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",文山區興隆路三段119號
4,85度C咖啡蛋糕飲料麵包(萬芳醫院店),ChIJAyp-HxOqQjQR-o_VP-8hEyg,24.9987722,121.5584074,3.6,160,"['cafe', 'food', 'point_of_interest', 'establishment']",文山區興隆路三段123-3號
6,85度C咖啡蛋糕飲料麵包(台北和平東店),ChIJJ3Za7syrQjQRoippNkAn2sc,25.0196682,121.5574032,3.8,364,"['cafe', 'food', 'point_of_interest', 'establishment']",大安區和平東路三段342號
8,cama café 台北六張犁,ChIJfWb3_smrQjQRlU-kXdRfABc,25.0247394,121.5531672,3.9,160,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",信義區基隆路二段195號
9,Louisa Coffee 路易．莎咖啡(六張犁店),ChIJGWi_1zOqQjQRF9cgM12sI-w,25.0240811,121.5518827,3.4,189,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區基隆路二段190-1號
10,STARBUCKS 星巴克 (興和門市),ChIJy1stmSiqQjQRWxEjYekjEaM,25.0255766,121.5436477,4,425,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區復興南路二段275號
12,丹堤咖啡,ChIJJ8Qp2CmqQjQRNLNnJxmqXHQ,25.0253339,121.5436728,3.6,360,"['cafe', 'food', 'point_of_interest', 'establishment']",大安區復興南路二段277號
13,cama café 大安科技店,ChIJUezUxVyrQjQRbhAc-jmT4fI,25.0252585,121.5422666,4.4,39,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區和平東路二段195號
14,85度C咖啡蛋糕飲料麵包(科技大樓店),ChIJ5x69H7yrQjQRcu1B77HEw3k,25.0249787,121.5414523,3.8,45,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區和平東路二段98號
16,丹堤咖啡,ChIJJ8Qp2CmqQjQRBZz4LtD5otM,25.033183,121.5426029,3.7,730,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區信義路三段184號
17,Starbucks,ChIJ5QizddOrQjQRkBsS22h-CAg,25.0336797,121.5438918,4.1,952,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區復興南路一段323號1F
18,怡客咖啡 大安捷運店,ChIJ21TOdNOrQjQR5txWYHClC_I,25.0335288,121.5439637,3.8,383,"['cafe', 'food', 'point_of_interest', 'establishment']","號, No. 1-13, 信義路四段, 大安區"
