,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
0,八方雲集 (三重重陽店),ChIJzzMkmOOoQjQRqeVMqTrd53k,25.058487,121.486913,3.6,172,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區重陽路一段59號
1,McDonald's,ChIJySaRc-OoQjQR7ccWjIot6gs,25.0576391,121.4869519,4,2051,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 5, Section 1, Chongyang Road, Sanchong District"
4,八方雲集(三重光復店),ChIJm3mfcPWoQjQRbYs3XE3vZBc,25.0491921,121.4708546,3.6,149,"['restaurant', 'food', 'point_of_interest', 'establishment']",三重區光復路一段68巷26號
5,麥當勞-新莊中正店,ChIJz04ygdinQjQRjQQ-WieHsvQ,25.0353893,121.448367,4,1437,"['restaurant', 'food', 'point_of_interest', 'establishment']",新莊區中正路232號
6,八方雲集 (新莊公園店),ChIJ9Tuk53aoQjQR-CDE-MlIbHQ,25.0395269,121.4498083,4,396,"['restaurant', 'food', 'point_of_interest', 'establishment']",新莊區公園路72號
7,摩斯漢堡 新莊輔大店,ChIJV6VykeinQjQRC171SCJwq_0,25.0324175,121.433172,4,350,"['restaurant', 'food', 'point_of_interest', 'establishment']",新莊區中正路516-5號
9,麥當勞,ChIJ74F3KemnQjQRD8eFcCUo-Ys,25.0318028,121.4323126,3.8,1226,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",新莊區中正路617號
10,八方雲集輔大店,ChIJR14ESa6nQjQR96d-yZfEyfI,25.0345398,121.434212,2.9,13,"['restaurant', 'food', 'point_of_interest', 'establishment']",新莊區中正路510號輔仁大學輔園餐廳八方雲集
11,PIZZA HUT必勝客-新莊富國店,ChIJ0xlzHvOnQjQRsHS8qeYQe3c,25.024679,121.4243459,3.8,210,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","No. 127號, Fuguo Road, Xinzhuang District"
13,八方雲集,ChIJk7_GcfKnQjQRAvzXmt1gh3w,25.026468,121.4265884,2.9,74,"['restaurant', 'food', 'point_of_interest', 'establishment']","No. 2號, Lane 65, Hougangyi Road, Xinzhuang District"
14,八方雲集鍋貼水餃專賣店,ChIJS2RYwHCoQjQRTNJ4GV7Uz40,25.0258074,121.4198476,3.7,265,"['restaurant', 'food', 'point_of_interest', 'establishment']",新莊區富國路70號
16,McDonald's,ChIJgY1bzI2nQjQRYkhKz66H-Po,25.0265038,121.4179442,3.9,1208,"['restaurant', 'food', 'point_of_interest', 'establishment']","B1~3, No. 877-5, Zhongzheng Road, Xinzhuang District"
